Driver A,Driver B,Weighting
Albon,Sainz,1
Alonso,Stroll,1
Antonelli,Russell,1
Bearman,Ocon,1
Bortoleto,Hülkenberg,1
Bottas,Pérez,1
Colapinto,Gasly,1
Hadjar,Verstappen (Max),1
Hamilton,Leclerc,1
Lawson,Lindblad,1
Norris,Piastri,1
Albon,Colapinto,2
Albon,Verstappen (Max),2
Alonso,Hamilton,2
Alonso,Ocon,2
Bearman,Hülkenberg,2
Bearman,Leclerc,2
Bottas,Hamilton,2
Bottas,Russell,2
Gasly,Ocon,2
Gasly,Sainz,2
Gasly,Verstappen (Max),2
Hadjar,Lawson,2
Hamilton,Russell,2
Hülkenberg,Pérez,2
Hülkenberg,Sainz,2
Hülkenberg,Stroll,2
Lawson,Verstappen (Max),2
Leclerc,Sainz,2
Norris,Sainz,2
Ocon,Pérez,2
Pérez,Stroll,2
Pérez,Verstappen (Max),2
Sainz,Verstappen (Max),2
Albon,Kvyat,3
Albon,Latifi,3
Albon,Sargeant,3
Alonso,Button,3
Alonso,Fisichella,3
Alonso,Grosjean,3
Alonso,Marques,3
Alonso,Massa,3
Alonso,Piquet Jr.,3
Alonso,Räikkönen,3
Alonso,Trulli,3
Alonso,Vandoorne,3
Alonso,Villeneuve,3
Alonso,Yoong,3
Barrichello,Hülkenberg,3
Bottas,Maldonado,3
Bottas,Massa,3
Bottas,Zhou,3
Button,Hamilton,3
Button,Pérez,3
Doohan,Gasly,3
Ericsson,Leclerc,3
Gasly,Hartley,3
Gasly,Kvyat,3
Gasly,Tsunoda,3
Gutiérrez,Hülkenberg,3
Hadjar,Tsunoda,3
Hamilton,Kovalainen,3
Hamilton,Rosberg (Nico),3
Hülkenberg,Magnussen (Kevin),3
Hülkenberg,Palmer (Jolyon),3
Hülkenberg,Ricciardo,3
Hülkenberg,di Resta,3
Kobayashi,Pérez,3
Kubica,Russell,3
Kvyat,Sainz,3
Latifi,Russell,3
Lawson,Tsunoda,3
Leclerc,Vettel,3
Massa,Stroll,3
Norris,Ricciardo,3
Ocon,Ricciardo,3
Ocon,Wehrlein,3
Ricciardo,Verstappen (Max),3
Sirotkin,Stroll,3
Stroll,Vettel,3
Stroll,di Resta,3
Tsunoda,Verstappen (Max),3
Aitken,Latifi,4
Alesi,Trulli,4
Apicella,Barrichello,4
Badoer,Räikkönen,4
Barrichello,Boutsen,4
Barrichello,Brundle,4
Barrichello,Button,4
Barrichello,Capelli,4
Barrichello,Herbert,4
Barrichello,Irvine,4
Barrichello,Magnussen (Jan),4
Barrichello,Maldonado,4
Barrichello,Naspetti,4
Barrichello,Schumacher (Michael),4
Barrichello,Suzuki (Aguri),4
Barrichello,Verstappen (Jos),4
Barrichello,de Cesaris,4
Baumgartner,Fisichella,4
Bourdais,Vettel,4
Button,Davidson,4
Button,Fisichella,4
Button,Magnussen (Kevin),4
Button,Sato,4
Button,Schumacher (Ralf),4
